"Specie\Loci","16-ITS","1-Cypripedium japonicum isolate PDBK2007-0727 photosystem II protein D1 (psbA) gene partial cds; psbA-trnH intergenic spacer complete sequence; and tRNA-His (trnH) gene partial sequence; plastid","2-Cypripedium calceolus isolate IH27 atpI-atpH intergenic spacer partial sequence; chloroplast","3-Cypripedium passerinum isolate S35 trnS-trnM intergenic spacer partial sequence; chloroplast","4-Cypripedium farreri isolate F29 trnL-trnF intergenic spacer partial sequence; chloroplast","5-Cypripedium montanum isolate P29 ribulose-15-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene partial cds; chloroplast","6-Cypripedium micranthum isolate C004 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer partial sequence; chloroplast","7-Cypripedium molle tRNA-Lys (trnK) gene partial sequence; and maturase K (matK) gene partial cds; chloroplast","8-Cypripedium japonicum RNA polymerase beta chain subunit-1 (rpoC1) gene partial cds; chloroplast","9-Cypripedium molle clone 2 1-aminocyclopropane-1-carboxylate oxidase (ACO) gene exons 2 through 4 and partial cds","10-Cypripedium acaule RNA polymerase beta subunit (rpoC2) gene partial cds; chloroplast","11-Cypripedium californicum hypothetical protein RF2 (ycf2) gene partial cds; chloroplast","12-Cypripedium candidum hypothetical protein Ycf1 (ycf1) gene partial cds; chloroplast","13-Cypripedium irapeanum clone 2 LEAFY (LFY) gene exons 1 through 3 and partial cds","14-Cypripedium shanxiense isolate CS_20120622_13 psbK-psbI intergenic spacer partial sequence; chloroplast","15-Cypripedium tibeticum haplotype 6 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer partial sequence; chloroplast",
"1226221-Cypripedium dickinsonianum",KJ939538.1,JQ660932.1,"-","-","-","-","-",JQ660909.1,"-","-","-","-","-","-","-","-",
"1088823-Cypripedium fargesii",JQ004988.1,JF796945.1,JF797126.1,"-",JF796997.1,"-","-","-","-","-","-","-","-","-","-","-",
"1088825-Cypripedium fasciolatum",JQ004990.1,JF796947.1,JF797145.1,JF797065.1,JF797023.1,"-",JF796874.1,"-","-","-","-","-","-","-","-","-",
"53041-Cypripedium flavum",JQ004985.1,JQ004986.1,JF797160.1,JF797066.1,JF797005.1,JN181474.1,JF796857.1,JN181457.1,JN181491.1,JN181416.1,JN181508.1,JN181542.1,JN181525.1,JN181438.1,"-","-",
"1088827-Cypripedium franchetii",KJ939536.1,JF796953.1,JF797146.1,JF797071.1,JF797024.1,"-",JF796875.1,"-","-","-","-","-","-","-","-","-",
"53043-Cypripedium guttatum",JQ004994.1,KC704356.1,JF797115.1,JF797073.1,JF797049.1,EF370113.1,JF796894.1,KF261992.1,"-","-","-","-","-","-",KC704113.1,"-",
"53045-Cypripedium lichiangense",JQ004991.1,JF796960.1,JF797124.1,JF797078.1,JF797001.1,MK161075.1,"-","-","-","-","-","-","-","-","-","-",
"53049-Cypripedium plectrochilum",JQ004993.1,JQ923464.1,JF797154.1,JF797090.1,JF797042.1,"-",JF796891.1,"-","-","-","-","-","-","-","-","-",
"752253-Cypripedium tibeticum",JN018079.1,JQ923463.1,JF797138.1,JF797096.1,JF797030.1,JQ182215.1,JF796881.1,JQ182197.1,JQ182233.1,JQ182161.1,JQ182251.1,JQ182287.1,JQ182269.1,JQ182177.1,"-",MF279238.1,
"1088841-Cypripedium yunnanense",JQ004989.1,JQ923460.1,JF797141.1,JF797099.1,JF797032.1,"-",JF796883.1,"-","-","-","-","-","-","-","-","-",
"53038-Cypripedium calceolus",AY557232.1,MH251253.1,JF797140.1,JF797102.1,"-",EF370100.1,JF796869.1,AY557208.1,"-","-","-","-","-","-",KF262227.1,AY557224.1,
"53042-Cypripedium formosanum",MK161251.1,JF796951.1,JF797155.1,JF797069.1,JF797041.1,EF370110.1,JF796890.1,"-","-","-","-","-","-","-","-","-",
"38191-Cypripedium acaule",Z78525.1,JF796936.1,JF797167.1,AY642483.1,AB056262.1,EF370111.1,"-",JQ182204.1,JQ182240.1,JQ182159.1,JQ182258.1,JQ182294.1,JQ182276.1,JQ182181.1,"-","-",
"442463-Cypripedium japonicum",KJ939537.1,KC704357.1,JF797156.1,JF797075.1,JF797051.1,EF370109.1,"-",LC086598.1,JN181492.1,JN181418.1,LC086633.1,JN181543.1,JN181526.1,JN181440.1,KC704114.1,"-",
"53046-Cypripedium macranthos",JN018075.1,KC704358.1,JF797148.1,JF797080.1,JF797026.1,AB176548.1,JF796877.1,KC704626.1,"-","-","-","-","-","-",KC704115.1,"-",
"153602-Cypripedium arietinum",MG216547.1,JF796938.1,JF797153.1,JF797057.1,JF797043.1,EF370104.1,JF796892.1,"-","-","-","-","-","-","-","-","-",
"53039-Cypripedium californicum",Z78532.1,JF796941.1,JF797151.1,JF797060.1,AB056264.1,EF370108.1,"-",JQ182201.1,JQ182237.1,JQ182158.1,JQ182255.1,JQ182291.1,JQ182273.1,"-","-","-",
"153603-Cypripedium parviflorum",MG216476.1,JF796968.1,JF797133.1,JF797086.1,JF797013.1,EF370106.1,JF796863.1,HQ593261.1,"-","-","-","-","-","-","-","-",
"53048-Cypripedium passerinum",MK161265.1,JF796969.1,JF797163.1,JF797087.1,JF797008.1,AF074142.1,JF796858.1,AF263649.1,JQ182236.1,JQ182167.1,JQ182254.1,JQ182290.1,JQ182272.1,JQ182180.1,"-","-",
"53051-Cypripedium reginae",EF370090.1,JF796970.1,JF797164.1,JF797088.1,JF797009.1,EF370105.1,JF796859.1,MG216956.1,"-","-","-","-","-","-","-","-",
"49711-Cypripedium irapeanum",Z78533.1,FR851212.1,FR851222.1,FR851227.1,"-",Z73706.1,"-",JQ182207.1,JQ182243.1,JQ182169.1,JQ182261.1,JQ182297.1,JQ182279.1,JQ182184.1,"-",FR851217.1,
"652492-Cypripedium micranthum",JF796914.1,GQ248282.1,JF797120.1,JF797082.1,JF797004.1,GQ248585.1,JF796856.1,GQ248113.2,"-","-","-","-","-","-",GQ248448.1,"-",
"926553-Cypripedium molle",FR720327.1,FR851211.1,FR851221.1,FR851226.1,"-",JQ182226.1,"-",JQ182208.1,JQ182244.1,JQ182170.1,JQ182262.1,JQ182298.1,JQ182280.1,JQ182185.1,"-",FR851216.1,
"442461-Cypripedium candidum",EU814921.1,JF796942.1,JF797132.1,JF797061.1,JF797014.1,EF370103.1,JF796864.1,JQ182199.1,JQ182235.1,JQ182164.1,JQ182253.1,JQ182289.1,JQ182271.1,"-","-","-",
"442465-Cypripedium montanum",MG216715.1,JF796965.1,JF797129.1,JF797083.1,JF797017.1,EF370102.1,JF796867.1,"-","-","-","-","-","-","-","-","-",
"147073-Cypripedium kentuckiense",JF796911.1,JF796958.1,JF797130.1,JF797076.1,JF797019.1,MK161072.1,JF796870.1,"-","-","-","-","-","-","-","-","-",
"1088833-Cypripedium shanxiense",JF796919.1,JF796975.1,JF797136.1,JF797093.1,JF797018.1,KF296604.1,JF796868.1,KF261995.1,"-","-","-","-","-","-",KF262231.1,"-",
"442462-Cypripedium debile",JF796926.1,JF796983.1,JF797168.1,JF797106.1,JF797047.1,EF370114.1,"-",JQ182205.1,JQ182241.1,JQ182166.1,JQ182259.1,JQ182295.1,JQ182277.1,"-","-","-",
"1088824-Cypripedium farreri",KJ939533.1,JF796946.1,JF797144.1,JF797064.1,JF797022.1,JQ182216.1,JF796873.1,JQ182198.1,JQ182234.1,JQ182163.1,JQ182252.1,JQ182288.1,JQ182270.1,"-","-","-",
"476167-Cypripedium henryi",JQ004987.1,JF796956.1,JF797150.1,JF797074.1,JF797011.1,"-",JF796861.1,AM889704.1,"-","-","-","-","-","-","-","-",
"53047-Cypripedium margaritaceum",JN018072.1,JF796963.1,JF797127.1,JF797081.1,JF796998.1,JQ182220.1,"-",JQ182202.1,JQ182238.1,JQ182160.1,JQ182256.1,JQ182292.1,JQ182274.1,JQ182178.1,"-","-",
"1088831-Cypripedium palangshanense",JF796916.1,JF796967.1,JF797152.1,JF797085.1,JF797045.1,JQ182221.1,JF796893.1,JQ182203.1,JQ182239.1,JQ182157.1,JQ182257.1,JQ182293.1,JQ182275.1,"-","-","-",
"1088836-Cypripedium subtropicum",KJ939534.1,JF796934.1,JF797117.1,JF797053.1,JF796994.1,JQ182224.1,"-",JQ182206.1,JQ182242.1,JQ182168.1,JQ182260.1,JQ182296.1,JQ182278.1,JQ182183.1,"-","-",
"1088821-Cypripedium bardolphianum",JF796900.1,JF796939.1,JF797119.1,JF797058.1,JF797002.1,JN181476.1,"-",JN181459.1,JN181493.1,JN181419.1,JN181510.1,JN181544.1,JN181527.1,JN181441.1,"-","-",
"1045547-Cypripedium calcicola",KJ939532.1,JF796977.1,JF797137.1,JF797095.1,JF797029.1,"-",JF796880.1,"-","-","-","-","-","-","-","-","-",
"53040-Cypripedium fasciculatum",MK161259.1,JF796984.1,JF797166.1,JF797104.1,JF797044.1,EF370112.1,"-",JN181460.1,JN181494.1,JN181420.1,JN181511.1,JN181545.1,JN181528.1,JN181442.1,"-","-",
"53044-Cypripedium himalaicum",JN018074.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"1088826-Cypripedium forrestii",JF796907.1,JF796952.1,JF797121.1,JF797070.1,JF797003.1,"-","-","-","-","-","-","-","-","-","-","-",
"1088829-Cypripedium lentiginosum",JF796912.1,JF796959.1,JF797123.1,JF797077.1,JF797000.1,MK161083.1,JF796855.1,"-","-","-","-","-","-","-","-","-",
"53052-Cypripedium segawae",Z78520.1,JF796974.1,JF797135.1,JF797092.1,JF797012.1,"-",JF796862.1,"-","-","-","-","-","-","-","-","-",
"1088834-Cypripedium sichuanense",JF796920.1,JF796976.1,JF797122.1,JF797094.1,JF796999.1,"-",JF796854.1,"-","-","-","-","-","-","-","-","-",
"1088835-Cypripedium singchii",JF796897.1,JF796935.1,JF797118.1,JF797054.1,JF796995.1,"-","-","-","-","-","-","-","-","-","-","-",
"1088839-Cypripedium wardii",JF796924.1,"-",JF797116.1,JF797098.1,JF796996.1,"-",JF796853.1,"-","-","-","-","-","-","-","-","-",
"1088840-Cypripedium wumengense",JF796913.1,JF796961.1,JF797125.1,JF797079.1,JF797033.1,MK161069.1,"-","-","-","-","-","-","-","-","-","-",
"53053-Cypripedium yatabeanum",Z78527.1,JF796985.1,JF797114.1,JF797105.1,JF797050.1,"-","-","-","-","-","-","-","-","-","-","-",
"1088842-Neuwiedia malipoensis","-",JF796989.1,JF797159.1,JF797109.1,JF797037.1,"-","-","-","-","-","-","-","-","-","-",KC172535.1,
